rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
615,58929,1.0,1.0,0.434171534663976,True,17.68888889,0.65,1016.92
616,34354,1.0,1.0,0.517982102721186,True,20.0,0.68,1016.4
617,44593,1.0,1.0,0.37235330651361853,True,17.75555556,0.7,1016.27
618,77359,1.0,1.0,0.3195559679349897,True,16.03888889,0.67,1015.67
619,77358,1.0,1.0,0.3738162196951861,True,15.9,0.64,1015.5
620,34340,1.0,1.0,0.46616505786575196,True,18.90555556,0.67,1014.18
621,71203,1.0,1.0,0.6899197726679517,True,19.95,0.57,1015.92
622,32292,1.0,1.0,0.8903670925326614,True,18.88888889,0.47,1015.7
623,9770,1.0,1.0,0.36168816151929667,True,15.57777778,0.64,1015.57
624,83488,1.0,1.0,0.5329810382111537,True,17.71111111,0.6,1014.9
625,26213,1.0,1.0,0.42793235157259585,True,18.75555556,0.7,1013.19
626,87584,1.0,1.0,0.7452616078966265,True,19.68888889,0.54,1016.41
627,34342,1.0,1.0,0.3722924627914216,True,17.77777778,0.7,1014.6
628,58915,1.0,1.0,0.27825267384083463,True,16.06666667,0.7,1016.61
629,58916,1.0,1.0,0.2784766548725458,True,16.06666667,0.7,1016.8
630,34339,1.0,1.0,0.6911779588703927,True,20.0,0.57,1013.8
631,87582,1.0,1.0,0.3595886250069758,True,17.15555556,0.68,1014.95
632,58913,1.0,1.0,0.5622241307399259,True,17.22222222,0.58,1016.9
633,58912,1.0,1.0,0.5865979938094397,True,17.22777778,0.57,1016.73
634,83484,1.0,1.0,0.6290602446907694,True,17.77777778,0.56,1016.09
635,56860,1.0,1.0,0.4263075747600233,True,18.40555556,0.68,1013.08
636,83485,1.0,1.0,0.8368134779821658,True,18.81666667,0.49,1015.87
637,58907,1.0,1.0,0.5384856862234556,True,17.82222222,0.6,1016.79
638,56859,1.0,1.0,0.378017718400042,True,17.89444444,0.7,1013.18
639,56858,1.0,1.0,0.5085468349983016,True,19.46111111,0.66,1013.56
640,77362,1.0,1.0,0.4517786792085695,True,17.28888889,0.63,1014.85
641,93754,1.0,1.0,0.7751470567314767,True,16.42222222,0.49,1016.03
642,58939,1.0,1.0,0.7495294554415988,True,17.60555556,0.51,1014.26
643,71228,1.0,1.0,0.5047683433233141,True,19.10555556,0.65,1015.93
644,61026,1.0,1.0,0.893228126049229,True,18.99444444,0.47,1015.19
645,61027,1.0,1.0,0.6857726925873663,True,17.17222222,0.53,1015.59
646,22113,1.0,1.0,0.5382282571607333,True,18.79444444,0.62,1013.34
647,77409,1.0,1.0,0.36315307800956925,True,17.23333333,0.68,1014.2
648,77408,1.0,1.0,0.30405932818582915,True,16.09444444,0.68,1014.1
649,61020,1.0,1.0,1.0,True,18.86111111,0.4,1016.59
650,77406,1.0,1.0,0.2888205221699161,True,16.07777778,0.69,1014.43
651,32349,1.0,1.0,0.4747367634994691,True,17.77777778,0.63,1016.9
652,32348,1.0,1.0,0.5628478171234154,True,18.88888889,0.61,1015.9
653,24154,1.0,1.0,0.5881329913973016,True,19.83888889,0.62,1013.04
654,24152,1.0,1.0,0.41393674227780897,True,17.66111111,0.66,1013.38
655,58938,1.0,1.0,0.9953821060992166,True,18.88888889,0.43,1014.3
656,69928,1.0,1.0,0.992571116951775,True,18.77222222,0.43,1014.83
657,69201,1.0,1.0,0.6067231300448472,True,19.83888889,0.61,1015.45
658,77391,1.0,1.0,0.36461711415849934,True,17.66111111,0.7,1013.21
659,77381,1.0,1.0,0.351930019088507,True,17.01666667,0.68,1014.56
660,58953,1.0,1.0,0.9447565303982556,True,19.88333333,0.46,1013.04
661,67141,1.0,1.0,0.9914080091647437,True,15.94444444,0.41,1014.69
662,26178,1.0,1.0,0.5790244252792781,True,16.15555556,0.56,1014.79
663,48703,1.0,1.0,0.5737789424089128,True,17.57777778,0.58,1015.17
664,93757,1.0,1.0,0.7743055876587539,True,16.40555556,0.49,1014.75
665,69185,1.0,1.0,0.4978462174185043,True,18.98333333,0.65,1014.94
666,26177,1.0,1.0,0.996421669606137,True,18.92222222,0.43,1014.97
667,65090,1.0,1.0,0.26231213472555887,True,15.55,0.69,1015.07
668,65089,1.0,1.0,0.2907777933118185,True,16.10555556,0.69,1014.95
669,48704,1.0,1.0,0.6629706426643226,True,18.73888889,0.56,1015.07
670,93759,1.0,1.0,0.4518930560483366,True,16.15555556,0.61,1014.26
671,65086,1.0,1.0,0.44483338819374507,True,18.90555556,0.69,1013.65
672,58941,1.0,1.0,0.6086729243348157,True,16.28333333,0.55,1014.47
673,61153,1.0,1.0,0.5069083418657755,True,19.63333333,0.67,1015.3
